date,title,source,link
14/4/2025,"Milk, butter, and chocolate - driving 3.5% increase in food prices",Stuff.co.nz,https://www.stuff.co.nz/business/360655003/food-prices-increase-35-percent-annually
15/5/2025,Food price pain: Butter skyrockets and the cost of instant coffee is hard to swallow to,Stuff.co.nz,https://www.stuff.co.nz/nz-news/360689681/food-prices-rise-37-cent-over-year-april
28/5/2025,NZ weather live: ‘Formidable line of heavy rain and thunderstorms’ in intensifying weather system,Stuff.co.nz,https://www.stuff.co.nz/nz-news/360704072/live-weather-updates-new-zealand
12/5/2025,Which grocery products rose most in price over the past year? And the reasons why,Nzherald.co.nz,https://www.nzherald.co.nz/business/which-grocery-products-rose-most-in-price-over-the-past-year/FBQ7C4H3ABHZFM7U7LK4LBNNYY/
14/5/2025,"Butter prices soar 65%, driving food cost higher, new data shows",Nzherald.co.nz,https://www.nzherald.co.nz/business/soaring-cheese-and-butter-prices-are-driving-food-cost-higher-new-data-shows/CALC6XUPVFG3JFGO5KHNIPS3CU/
28/5/2025,Auckland rates and water bills to rise by $324 from July,Nzherald.co.nz,https://www.nzherald.co.nz/nz/auckland-rates-and-water-bills-to-rise-by-326-from-july/E5BOQMTXLZB6DAMSRXV3EFB3NM/
,,,
,,,
,,,
,,,
,,,
,,,
12/5/2025,Which grocery products rose most in price over the past year? And the reasons why,Nzherald.co.nz,https://www.nzherald.co.nz/business/which-grocery-products-rose-most-in-price-over-the-past-year/FBQ7C4H3ABHZFM7U7LK4LBNNYY/
